kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G3-l2-reuse,medium,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",214.079,0.203,83.11,0.3,7.4,2.1,0.923,2.69426e+06,long_scoreboard,memory-limited but LFMR 0.20 — the L2 is earning its keep,2026-07-03_125847_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",1.209,0.316,214.14,1.0,2.8,2.1,0.047,33712.4,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-03_125847_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,stable,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.195,0.185,162.96,0.2,2.8,2.4,0.468,13257.1,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,low,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.176,0.445,42.76,17.1,2.3,22.4,14.125,2.17971e+06,long_scoreboard,"long-scoreboard dominant at 22% occupancy, DRAM-SoL 17%; only n=3 profiled launches — small sample",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.12,0.258,111.94,0.5,6.0,2.1,1.047,13644.8,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.111,0.343,409.6,1.5,2.0,7.1,0.059,36083.2,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G5-compute,medium,borderline:G0-nosignal↔G5-compute,none,host GPU,0.093,0.186,2.38,1.9,2.3,67.4,22.448,38054.4,barrier,"CompSoL 40% dominant, AI 22.4 FLOP/B",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.09,0.341,282.62,3.0,5.8,8.1,1.256,57971.2,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.088,0.365,406.9,1.2,2.0,7.0,0.065,22502.4,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 1%",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.079,0.512,26.73,17.0,4.0,42.6,2.988,292109,long_scoreboard,memory-limited (MemSoL 40%) without a sharper signature,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.06,0.417,109.46,22.3,4.0,32.1,3.465,240800,tex_throttle,memory-limited (MemSoL 22%) without a sharper signature,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.058,0.277,179.88,0.7,5.5,12.6,0.316,4864,barrier,"'barrier' stall dominant at 13% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G6-onchip,medium,stable,none,host GPU,0.058,0.322,35.98,1.5,6.4,13.4,9.094,27318.9,mio_throttle,dominant stall mio_throttle (3.2 warps) with DRAM unsaturated,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.051,0.265,166.46,0.7,3.0,14.6,0.0,4330.67,barrier,"'barrier' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.051,0.323,267.82,0.9,5.6,14.0,0.425,10265.6,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.033,0.264,10.25,0.9,2.3,13.8,5.389,6604.8,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.032,0.496,145.94,24.0,4.0,31.7,2.929,278485,tex_throttle,memory-limited (MemSoL 28%) without a sharper signature,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.031,0.282,11.23,1.0,2.3,13.9,4.917,7267.56,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.289,669.52,1.2,23.4,11.0,0.932,10733.7,barrier,"'barrier' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.315,1084.55,1.3,4.0,6.4,0.06,9486.22,wait,"'wait' stall dominant at 6% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.029,0.316,262.59,1.2,2.4,9.2,0.136,7411.2,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.029,0.282,170.17,0.7,13.5,12.3,0.308,4835.56,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.029,0.305,287.55,1.1,2.4,7.9,0.138,7480.89,long_scoreboard,memory-limited but LFMR 0.30 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.029,0.186,94.72,1.0,10.9,15.8,0.488,6195.2,barrier,"'barrier' stall dominant at 16% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (11 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.025,0.354,39.14,38.6,4.0,86.0,15.952,2.10342e+06,long_scoreboard,memory-limited (MemSoL 60%) without a sharper signature,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.023,0.345,8373.33,2.0,1.0,2.1,0.001,11164.4,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.022,0.106,93.2,0.4,24.0,48.6,0.0,2925.71,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-03_125722_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.261,10088.89,0.7,1.0,2.1,0.0,2905.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.236,10750.0,0.7,1.0,2.1,0.0,2752,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.235,10971.43,0.6,1.0,2.1,0.0,2457.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.235,11085.71,0.6,1.0,2.1,0.0,2483.2,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
cast_image_kernel,preprocess,streaming,G3-l2-reuse,low,stable,weak,"weak, cache-friendly",0.014,0.172,36.12,17.2,4.0,74.6,0.0,265088,long_scoreboard,memory-limited but LFMR 0.17 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.233,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::update_poses_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.012,0.275,1024.66,0.9,4.0,9.1,0.08,4787.2,long_scoreboard,memory-limited but LFMR 0.27 — the L2 is earning its keep,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.012,0.287,406.5,0.5,2.2,3.9,0.0,6400,long_scoreboard,memory-limited but LFMR 0.29 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
sba::update_points_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.011,0.395,7903.03,3.4,7.0,10.5,0.001,16691.2,long_scoreboard,"long-scoreboard dominant at 10% occupancy, DRAM-SoL 3%",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.351,34.27,2.7,11.3,16.6,0.0,65664,wait,"'wait' stall dominant at 17% occupancy; memory is not the wall (MemSoL 8%, DRAM-SoL 3%); note: scattered access (11 sect/req) — re-screen for PiM once occupancy is fixed; only n=1 profiled launches — small sample",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.01,0.345,144.09,6.1,11.2,16.5,0.0,66176,long_scoreboard,"memory-limited but LFMR 0.34 — the L2 absorbs even the 11 sect/req scatter [migrated: G2 DRAM-visibility guard, 2026-07-12 population]",2026-07-03_125722_mav0_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.01,0.391,80.3,49.0,4.0,86.2,0.0,1.05254e+06,long_scoreboard,memory-limited (MemSoL 49%) without a sharper signature,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
accumulateGFTT_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.009,0.951,128.14,52.9,0,80.9,1.307,1.05395e+06,long_scoreboard,DRAM-SoL 53%; LFMR 0.95 (L2 not helping); only n=1 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
downsample_gftt_x8_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.008,0.808,122.66,59.0,4.0,80.1,0.0,1.05306e+06,long_scoreboard,DRAM-SoL 59%; LFMR 0.81 (L2 not helping); only n=1 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
select_features_kernel,feature_detect,streaming,G2-coalescing,low,borderline:G1-bandwidth↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.006,0.849,932.51,38.3,24.1,15.2,0.115,454528,long_scoreboard,24 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
filter_maximums_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",0.002,0.199,337.5,0.7,6.7,2.1,0.0,3456,long_scoreboard,memory-limited but LFMR 0.20 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-03_125722_mav0_ncu_dellworkstation_sm89
